Date,July,,Census,Sits,Held Beds,Held Due To Covid Swab/Quarantine,Closed Beds,Daily Admits from CIU,Daily Admits from CL,Daily Admits from ED,Daily Admits from OSH,Total Daily Admits,Daily Readmits,Total Daily Discharges,,,
7/1/24,1,Monday,13,2,8,0,2,0,1,1,0,2,0,2,,,
7/2/24,2,Tuesday,13,1,7,0,2,0,1,1,0,2,0,4,,,
7/3/24,3,Wednesday,11,0,6,0,2,0,2,1,0,3,0,0,,,
7/4/24,4,Thursday,15,2,6,0,2,0,0,1,0,1,0,0,,,
7/5/24,5,Friday,15,2,6,0,2,0,0,1,0,1,0,4,,,
7/6/24,6,Saturday,13,1,6,0,2,0,0,1,0,1,0,0,,,
7/7/24,7,Sunday,15,1,6,0,2,2,0,0,0,2,1,0,,,
7/8/24,8,Monday,15,1,6,0,2,0,0,0,0,0,0,4,,,
7/9/24,9,Tuesday,11,1,5,0,2,2,0,1,0,3,0,4,,,
7/10/24,10,Wednesday,10,0,4,0,2,1,1,0,0,2,0,1,,,
7/11/24,11,Thursday,11,0,4,0,2,0,0,4,0,4,0,3,,,
7/12/24,12,Friday,12,0,6,0,2,0,0,1,0,1,1,4,,,
7/13/24,13,Saturday,11,0,8,0,2,0,2,0,0,2,0,0,,,
7/14/24,14,Sunday,13,0,8,0,2,0,0,2,0,2,0,0,,,
7/15/24,15,Monday,13,0,9,0,2,0,1,2,0,3,1,2,,,
7/16/24,16,Tuesday,14,0,9,0,2,0,0,0,0,0,0,0,,,
7/17/24,17,Wednesday,14,0,9,0,2,0,0,2,0,2,0,3,,,
7/18/24,18,Thursday,13,0,8,0,2,0,0,3,0,3,0,1,,,
7/19/24,19,Friday,15,1,9,0,2,0,0,0,0,0,0,3,,,
7/20/24,20,Saturday,12,0,9,0,2,0,0,0,0,0,0,0,,,
7/21/24,21,Sunday,12,1,9,0,2,0,0,0,0,0,0,0,,,
7/22/24,22,Monday,12,1,9,0,2,1,0,2,0,3,0,3,,,
7/23/24,23,Tuesday,12,1,9,0,2,2,1,0,0,3,0,2,,,
7/24/24,24,Wednesday,13,1,8,0,2,0,0,2,0,2,0,3,,,
7/25/24,25,Thursday,12,0,7,0,2,1,0,3,0,4,1,4,,,
7/26/24,26,Friday,13,0,8,0,2,0,0,1,0,1,0,4,,,
7/27/24,27,Saturday,10,0,6,0,0,0,0,0,0,0,0,0,,, 
7/28/24,28,Sunday,11,0,7,0,0,0,0,1,0,1,1,0,,,
7/29/24,29,Monday,11,0,7,0,0,0,0,4,0,4,2,6,,,
7/30/24,30,Tuesday,11,0,7,0,0,2,0,1,0,3,0,1,,,
7/31/24,31,Wednesday,12,0,9,0,0,1,0,0,0,1,0,1,,,
