Day,Single Room E,Single Room F,Total Single Room Patients,Double Room Patients,Total Patients for Day,Closed Rooms,Total Census Rooms,Month
Saturday,7.0,0.0,7.0,12.0,19.0,0.0,19.0,Jan-2022
Sunday,7.0,0.0,7.0,12.0,19.0,0.0,19.0,Jan-2022
Monday,7.0,0.0,7.0,12.0,19.0,0.0,19.0,Jan-2022
Tuesday,8.0,0.0,8.0,9.0,17.0,0.0,17.0,Jan-2022
Wednesday,8.0,0.0,8.0,9.0,17.0,0.0,17.0,Jan-2022
Thursday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Jan-2022
Friday,8.0,0.0,8.0,8.0,16.0,0.0,16.0,Jan-2022
Saturday,8.0,0.0,8.0,8.0,16.0,0.0,16.0,Jan-2022
Sunday,8.0,0.0,8.0,8.0,16.0,0.0,16.0,Jan-2022
Monday,8.0,0.0,8.0,8.0,16.0,2.0,16.0,Jan-2022
Tuesday,14.0,0.0,12.0,0.0,12.0,0.0,12.0,Jan-2022
Wednesday,8.0,0.0,6.0,0.0,6.0,0.0,6.0,Jan-2022
Thursday,4.0,0.0,4.0,0.0,4.0,0.0,4.0,Jan-2022
Friday,3.0,0.0,3.0,0.0,3.0,0.0,3.0,Jan-2022
Saturday,2.0,0.0,2.0,0.0,2.0,0.0,2.0,Jan-2022
Sunday,2.0,0.0,2.0,0.0,2.0,0.0,2.0,Jan-2022
Monday,2.0,0.0,2.0,0.0,2.0,0.0,2.0,Jan-2022
Tuesday,3.0,0.0,3.0,0.0,3.0,0.0,3.0,Jan-2022
Wednesday,8.0,0.0,8.0,0.0,8.0,0.0,8.0,Jan-2022
Thursday,5.0,0.0,5.0,0.0,5.0,0.0,5.0,Jan-2022
Friday,7.0,0.0,7.0,0.0,7.0,0.0,7.0,Jan-2022
Saturday,0.0,0.0,0.0,9.0,9.0,0.0,9.0,Jan-2022
Sunday,2.0,0.0,2.0,8.0,10.0,0.0,10.0,Jan-2022
Monday,10.0,0.0,10.0,0.0,10.0,0.0,10.0,Jan-2022
Tuesday,9.0,0.0,9.0,2.0,11.0,0.0,11.0,Jan-2022
Wednesday,11.0,0.0,11.0,2.0,13.0,0.0,13.0,Jan-2022
Thursday,13.0,0.0,13.0,0.0,13.0,0.0,13.0,Jan-2022
Friday,12.0,0.0,12.0,0.0,12.0,0.0,12.0,Jan-2022
Saturday,5.0,0.0,5.0,10.0,15.0,0.0,15.0,Jan-2022
Sunday,6.0,0.0,6.0,10.0,16.0,0.0,16.0,Jan-2022
Monday,6.0,0.0,6.0,10.0,16.0,0.0,16.0,Jan-2022
Tuesday,6.0,4.0,10.0,6.0,16.0,0.0,16.0,Feb-2022
Wednesday,6.0,5.0,11.0,3.0,14.0,0.0,14.0,Feb-2022
Thursday,6.0,6.0,12.0,2.0,14.0,0.0,14.0,Feb-2022
Friday,6.0,6.0,12.0,2.0,14.0,0.0,14.0,Feb-2022
Saturday,8.0,3.0,11.0,4.0,15.0,0.0,15.0,Feb-2022
Sunday,8.0,3.0,11.0,4.0,15.0,0.0,15.0,Feb-2022
Monday,8.0,3.0,11.0,4.0,15.0,0.0,15.0,Feb-2022
Tuesday,8.0,2.0,10.0,4.0,14.0,0.0,14.0,Feb-2022
Wednesday,6.0,4.0,10.0,4.0,14.0,0.0,14.0,Feb-2022
Thursday,7.0,6.0,13.0,0.0,13.0,0.0,13.0,Feb-2022
Friday,6.0,7.0,13.0,0.0,13.0,0.0,13.0,Feb-2022
Saturday,9.0,4.0,13.0,0.0,13.0,0.0,13.0,Feb-2022
Sunday,9.0,4.0,13.0,0.0,13.0,0.0,13.0,Feb-2022
Monday,9.0,4.0,13.0,0.0,13.0,0.0,13.0,Feb-2022
Tuesday,4.0,0.0,4.0,7.0,11.0,0.0,11.0,Feb-2022
Wednesday,6.0,0.0,6.0,8.0,14.0,0.0,14.0,Feb-2022
Thursday,8.0,0.0,8.0,8.0,16.0,0.0,16.0,Feb-2022
Friday,5.0,0.0,5.0,9.0,14.0,0.0,14.0,Feb-2022
Saturday,6.0,4.0,10.0,4.0,14.0,0.0,14.0,Feb-2022
Sunday,6.0,4.0,10.0,5.0,15.0,0.0,15.0,Feb-2022
Monday,6.0,4.0,10.0,5.0,15.0,0.0,15.0,Feb-2022
Tuesday,6.0,2.0,8.0,10.0,18.0,0.0,18.0,Feb-2022
Wednesday,4.0,2.0,6.0,11.0,17.0,0.0,17.0,Feb-2022
Thursday,6.0,2.0,8.0,8.0,16.0,0.0,16.0,Feb-2022
