Date,June,,Census,Sits,Held Beds,Held Due To Covid Swab/Quarantine,Closed Beds,Daily Admits from CIU,Daily Admits from CL,Daily Admits from ED,Daily Admits from OSH,Total Daily Admits,Daily Readmits,Total Daily Discharges,,,
6/1/24,1,Saturday,11,2,6,0,4,1,0,2,0,3,0,0,,,
6/2/24,2,Sunday,14,3,9,0,2,1,0,2,0,3,2,0,2:1 sit,,
6/3/24,3,Monday,14,3,9,0,2,0,0,0,0,0,0,3,2:1 sit,,
6/4/24,4,Tuesday,11,2,8,0,4,0,0,2,0,2,1,5,2:1 sit,,
6/5/24,5,Wednesday,8,3,6,0,2,0,0,3,0,3,0,1,2:1 sit,,
6/6/24,6,Thursday,10,2,7,0,2,0,1,2,0,3,1,0,2:1 sit,,
6/7/24,7,Friday,14,3,7,0,2,1,0,2,0,3,0,3,2:1 sit,,
6/8/24,8,Saturday,15,3,8,0,2,0,0,2,0,2,0,0,2:1 sit,,
6/9/24,9,Sunday,15,3,7,0,2,0,0,0,0,0,0,0,2:1 sit,,
6/10/24,10,Monday,16,4,8,0,2,0,1,2,0,3,0,7,2:1 sit,,
6/11/24,11,Tuesday,13,3,8,0,2,1,0,2,0,3,1,2,2:1 sit,,
6/12/24,12,Wednesday,13,4,8,0,2,0,0,1,0,1,0,3,2:1 sit,,
6/13/24,13,Thursday,11,3,7,0,2,0,0,0,0,0,0,2,2:1 sit,,
6/14/24,14,Friday,9,4,7,0,2,1,0,0,0,1,0,3,2:1 sit,,
6/15/24,15,Saturday,7,2,5,0,2,0,0,0,0,0,0,0,2:1 sit,,
6/16/24,16,Sunday,11,3,6,0,2,2,0,2,0,4,0,0,2:1 sit,,
6/17/24,17,Monday,11,4,6,0,2,2,0,0,0,2,2,3,2:1 sit,,
6/18/24,18,Tuesday,10,1,7,0,2,0,0,1,1,2,0,3,,,
6/19/24,19,Wednesday,9,1,4,0,2,0,0,0,1,1,0,1,,,
6/20/24,20,Thursday,9,0,4,0,2,0,0,1,1,2,0,1,,,
6/21/24,21,Friday,10,0,4,0,2,2,0,2,0,4,0,1,,,
6/22/24,22,Saturday,13,1,6,0,2,0,0,0,0,0,0,0,,,
6/23/24,23,Sunday,15,1,7,0,2,0,0,2,0,2,0,0,,,
6/24/24,24,Monday,15,1,7,0,2,0,1,1,0,2,0,5,,,
6/25/24,25,Tuesday,13,2,8,0,2,1,0,1,0,2,0,1,,,
6/26/24,26,Wednesday,13,2,7,0,2,0,0,2,0,2,0,1,,,
6/27/24,27,Thursday,14,2,6,0,2,0,0,0,0,0,0,0,,, 
6/28/24,28,Friday,14,1,6,0,2,0,0,0,0,0,0,5,,,
6/29/24,29,Saturday,9,2,5,0,2,0,0,0,0,0,0,0,,,
6/30/24,30,Sunday,13,2,8,0,2,2,0,2,0,4,2,0,,,
