Date,index,day,Census,Sits,Held Beds,Held Due To Covid Swab/Quarantine,Closed Beds,Daily Admits from CIU,Daily Admits from CL,Daily Admits from ED,Daily Admits from OSH,Total Daily Admits,Daily Readmits,Total Daily Discharges
9/1/24,1,Sunday,14,2,6,0,0,0,0,0,0,0,0,0
9/2/24,2,Monday,14,2,6,0,0,0,0,0,0,0,0,0
9/3/24,3,Tuesday,14,2,6,0,0,0,2,2,0,4,1,7
9/4/24,4,Wednesday,11,3,8,0,0,0,0,3,0,3,0,1
9/5/24,5,Thursday,14,4,9,0,0,3,0,1,0,4,0,2
9/6/24,6,Friday,15,3,9,0,0,0,0,0,0,0,0,2
9/7/24,7,Saturday,14,3,9,0,0,1,0,0,0,1,0,0
9/8/24,8,Sunday,14,3,9,0,0,0,0,0,0,0,0,0
9/9/24,9,Monday,14,3,9,0,0,0,0,2,0,2,1,4
9/10/24,10,Tuesday,12,3,8,0,0,0,0,3,0,3,0,0
9/11/24,11,Wednesday,16,4,9,0,0,0,0,3,0,3,0,5
9/12/24,12,Thursday,13,4,7,0,0,0,0,1,0,1,0,2
9/13/24,13,Friday,12,4,8,0,0,0,1,1,1,3,0,4
9/14/24,14,Saturday,11,4,7,0,0,0,0,0,0,0,0,0
9/15/24,15,Sunday,11,4,8,0,0,0,0,0,0,0,0,0
9/16/24,16,Monday,11,4,8,0,0,0,1,2,1,4,0,2
9/17/24,17,Tuesday,15,3,7,0,0,3,0,1,0,4,0,0
9/18/24,18,Wednesday,17,2,7,0,0,0,0,4,0,4,1,6
9/19/24,19,Thursday,15,2,8,0,0,1,1,1,0,3,0,6
9/20/24,20,Friday,13,3,6,0,0,1,0,2,0,3,1,2
9/21/24,21,Saturday,15,4,10,0,0,2,0,0,0,2,0,0
9/22/24,22,Sunday,15,4,11,0,0,0,0,0,0,0,0,0
9/23/24,23,Monday,15,4,11,0,0,0,0,0,0,0,0,3
9/24/24,24,Tuesday,12,4,10,0,0,0,1,2,0,3,0,1
9/25/24,25,Wednesday,14,4,9,0,0,1,1,1,0,3,0,1
9/26/24,26,Thursday,16,4,9,0,0,0,0,3,0,3,0,4
9/27/24,27,Friday,16,3,10,0,0,0,1,1,0,2,0,4
9/28/24,28,Saturday,13,2,11,0,0,0,0,0,0,0,0,0
9/29/24,29,Sunday,14,2,11,0,0,0,0,1,0,1,0,0
9/30/24,30,Monday,14,3,11,0,0,0,0,3,0,3,0,6
