Date,Available Beds,Wasted Beds,Daily Efficiency,Cumulative Available Beds,Cumulative Wasted Beds,Cumulative Efficiency
2024-01-01,26.0,11.0,0.5769230769230769,26.0,11.0,0.5769230769230769
2024-01-02,26.0,11.0,0.5769230769230769,52.0,22.0,0.5769230769230769
2024-01-03,26.0,11.0,0.5769230769230769,78.0,33.0,0.5769230769230769
2024-01-04,26.0,10.0,0.6153846153846154,104.0,43.0,0.5865384615384616
2024-01-05,26.0,11.0,0.5769230769230769,130.0,54.0,0.5846153846153846
2024-01-06,26.0,11.0,0.5769230769230769,156.0,65.0,0.5833333333333334
2024-01-07,26.0,12.0,0.5384615384615384,182.0,77.0,0.5769230769230769
2024-01-08,26.0,12.0,0.5384615384615384,208.0,89.0,0.5721153846153846
2024-01-09,26.0,12.0,0.5384615384615384,234.0,101.0,0.5683760683760684
2024-01-10,26.0,12.0,0.5384615384615384,260.0,113.0,0.5653846153846154
2024-01-11,26.0,13.0,0.5,286.0,126.0,0.5594405594405595
2024-01-12,26.0,12.0,0.5384615384615384,312.0,138.0,0.5576923076923077
2024-01-13,26.0,12.0,0.5384615384615384,338.0,150.0,0.5562130177514792
2024-01-14,26.0,10.0,0.6153846153846154,364.0,160.0,0.5604395604395604
2024-01-15,26.0,10.0,0.6153846153846154,390.0,170.0,0.5641025641025641
2024-01-16,26.0,10.0,0.6153846153846154,416.0,180.0,0.5673076923076923
2024-01-17,26.0,11.0,0.5769230769230769,442.0,191.0,0.5678733031674208
2024-01-18,26.0,10.0,0.6153846153846154,468.0,201.0,0.5705128205128205
2024-01-19,26.0,4.0,0.8461538461538461,494.0,205.0,0.5850202429149798
2024-01-20,26.0,4.0,0.8461538461538461,520.0,209.0,0.5980769230769231
2024-01-21,26.0,4.0,0.8461538461538461,546.0,213.0,0.6098901098901099
2024-01-22,26.0,5.0,0.8076923076923077,572.0,218.0,0.6188811188811189
2024-01-23,26.0,5.0,0.8076923076923077,598.0,223.0,0.6270903010033445
2024-01-24,26.0,4.0,0.8461538461538461,624.0,227.0,0.6362179487179487
2024-01-25,26.0,5.0,0.8076923076923077,650.0,232.0,0.6430769230769231
2024-01-26,26.0,5.0,0.8076923076923077,676.0,237.0,0.6494082840236687
2024-01-27,26.0,7.0,0.7307692307692307,702.0,244.0,0.6524216524216524
2024-01-28,26.0,5.0,0.8076923076923077,728.0,249.0,0.657967032967033
2024-01-29,26.0,5.0,0.8076923076923077,754.0,254.0,0.6631299734748011
2024-01-30,26.0,5.0,0.8076923076923077,780.0,259.0,0.6679487179487179
2024-01-31,26.0,4.0,0.8461538461538461,806.0,263.0,0.673697270471464
2024-03-03,26.0,4.0,0.8461538461538461,832.0,267.0,0.6790865384615384
2024-03-04,26.0,3.0,0.8846153846153846,858.0,270.0,0.6853146853146853
2024-03-05,26.0,4.0,0.8461538461538461,884.0,274.0,0.6900452488687783
2024-03-06,26.0,3.0,0.8846153846153846,910.0,277.0,0.6956043956043956
2024-03-07,26.0,5.0,0.8076923076923077,936.0,282.0,0.6987179487179487
2024-03-08,26.0,5.0,0.8076923076923077,962.0,287.0,0.7016632016632016
2024-03-09,26.0,4.0,0.8461538461538461,988.0,291.0,0.7054655870445344
2024-03-10,26.0,2.0,0.9230769230769231,1014.0,293.0,0.7110453648915187
2024-03-11,26.0,2.0,0.9230769230769231,1040.0,295.0,0.7163461538461539
2024-03-12,26.0,2.0,0.9230769230769231,1066.0,297.0,0.7213883677298312
2024-03-13,26.0,4.0,0.8461538461538461,1092.0,301.0,0.7243589743589743
2024-03-14,26.0,5.0,0.8076923076923077,1118.0,306.0,0.7262969588550984
2024-03-15,26.0,5.0,0.8076923076923077,1144.0,311.0,0.7281468531468531
2024-03-16,26.0,4.0,0.8461538461538461,1170.0,315.0,0.7307692307692307
2024-03-17,16.0,12.0,0.25,1186.0,327.0,0.7242833052276559
2024-03-18,25.0,6.0,0.76,1211.0,333.0,0.7250206440957886
2024-03-19,26.0,3.0,0.8846153846153846,1237.0,336.0,0.7283751010509296
2024-03-20,26.0,5.0,0.8076923076923077,1263.0,341.0,0.7300079176563737
2024-03-21,26.0,5.0,0.8076923076923077,1289.0,346.0,0.7315748642358417
2024-03-22,26.0,5.0,0.8076923076923077,1315.0,351.0,0.7330798479087453
2024-03-23,26.0,6.0,0.7692307692307693,1341.0,357.0,0.7337807606263982
2024-03-24,26.0,6.0,0.7692307692307693,1367.0,363.0,0.7344550109729334
2024-03-25,26.0,4.0,0.8461538461538461,1393.0,367.0,0.7365398420674802
2024-03-26,26.0,4.0,0.8461538461538461,1419.0,371.0,0.7385482734319944
2024-03-27,26.0,5.0,0.8076923076923077,1445.0,376.0,0.7397923875432526
2024-03-28,26.0,6.0,0.7692307692307693,1471.0,382.0,0.7403127124405167
