Date,Total_Patients,Single_Room_Patients,Double_Room_Patients,Is_Max_Capacity
2023-01-01,15.0,11.0,4.0,True
2023-01-02,15.0,11.0,4.0,True
2023-01-03,15.0,11.0,4.0,True
2023-01-04,16.0,10.0,6.0,True
2023-01-05,15.0,11.0,4.0,True
2023-01-06,15.0,11.0,4.0,True
2023-01-07,14.0,12.0,2.0,True
2023-01-08,14.0,12.0,2.0,True
2023-01-09,14.0,12.0,2.0,True
2023-01-10,14.0,12.0,2.0,True
2023-01-11,13.0,13.0,0.0,True
2023-01-15,15.0,10.0,5.0,True
2023-01-16,15.0,10.0,5.0,True
2023-01-17,14.0,11.0,3.0,True
2023-01-18,16.0,10.0,6.0,True
2023-01-22,20.0,5.0,15.0,True
2023-01-23,20.0,5.0,15.0,True
2023-01-27,18.0,7.0,11.0,True
2023-01-28,21.0,5.0,16.0,True
2023-01-29,20.0,5.0,15.0,True
2023-01-30,20.0,5.0,15.0,True
2023-01-31,21.0,4.0,17.0,True
2023-02-01,22.0,4.0,18.0,True
2023-02-02,22.0,3.0,19.0,True
2023-02-03,22.0,4.0,18.0,True
2023-02-05,21.0,5.0,16.0,True
2023-02-06,21.0,5.0,16.0,True
2023-02-11,21.0,4.0,17.0,True
2023-02-12,21.0,5.0,16.0,True
2023-02-13,21.0,5.0,16.0,True
2023-02-18,21.0,5.0,16.0,True
2023-02-19,21.0,5.0,16.0,True
2023-02-20,21.0,5.0,16.0,True
2023-02-21,19.0,6.0,13.0,True
2023-02-22,20.0,6.0,14.0,True
2023-02-24,22.0,4.0,18.0,True
2023-02-25,20.0,5.0,15.0,True
2023-02-26,20.0,6.0,14.0,True
2023-02-27,20.0,6.0,14.0,True
2023-02-28,19.0,6.0,13.0,True
2023-03-01,19.0,7.0,12.0,True
2023-03-04,19.0,7.0,12.0,True
2023-03-05,19.0,7.0,12.0,True
2023-03-06,19.0,7.0,12.0,True
2023-03-15,18.0,7.0,11.0,True
2023-03-16,18.0,7.0,11.0,True
2023-03-17,18.0,8.0,10.0,True
2023-03-19,19.0,6.0,13.0,True
2023-03-20,19.0,6.0,13.0,True
2023-03-22,19.0,7.0,12.0,True
2023-04-07,19.0,6.0,13.0,True
2023-04-08,19.0,7.0,12.0,True
2023-04-09,19.0,7.0,12.0,True
2023-04-10,19.0,7.0,12.0,True
2023-04-11,19.0,7.0,12.0,True
2023-04-14,21.0,5.0,16.0,True
2023-04-15,20.0,6.0,14.0,True
2023-04-16,18.0,7.0,11.0,True
2023-04-18,18.0,7.0,11.0,True
2023-04-19,18.0,7.0,11.0,True
2023-04-22,17.0,8.0,9.0,True
2023-04-23,17.0,8.0,9.0,True
2023-04-24,17.0,8.0,9.0,True
2023-04-26,21.0,5.0,16.0,True
2023-04-27,21.0,5.0,16.0,True
2023-04-28,20.0,6.0,14.0,True
2023-04-29,18.0,8.0,10.0,True
2023-04-30,18.0,8.0,10.0,True
2023-05-01,18.0,8.0,10.0,True
2023-05-02,18.0,7.0,11.0,True
2023-05-03,19.0,7.0,12.0,True
2023-05-04,20.0,5.0,15.0,True
2023-05-05,20.0,6.0,14.0,True
2023-05-06,20.0,6.0,14.0,True
2023-05-07,20.0,6.0,14.0,True
2023-05-08,20.0,6.0,14.0,True
2023-05-09,17.0,9.0,8.0,True
2023-05-10,21.0,5.0,16.0,True
2023-05-11,21.0,5.0,16.0,True
2023-05-12,21.0,5.0,16.0,True
2023-05-13,19.0,7.0,12.0,True
2023-05-14,19.0,7.0,12.0,True
2023-05-15,19.0,7.0,12.0,True
2023-05-16,18.0,8.0,10.0,True
2023-05-17,19.0,7.0,12.0,True
2023-05-18,19.0,6.0,13.0,True
2023-05-21,21.0,5.0,16.0,True
2023-05-22,20.0,5.0,15.0,True
2023-05-24,19.0,7.0,12.0,True
2023-05-25,19.0,7.0,12.0,True
2023-05-26,18.0,8.0,10.0,True
2023-05-27,19.0,7.0,12.0,True
2023-05-28,19.0,7.0,12.0,True
2023-05-29,20.0,6.0,14.0,True
2023-05-30,20.0,5.0,15.0,True
2023-05-31,20.0,6.0,14.0,True
2023-06-01,20.0,6.0,14.0,True
2023-06-02,22.0,4.0,18.0,True
2023-06-03,20.0,5.0,15.0,True
2023-06-04,20.0,6.0,14.0,True
2023-06-05,20.0,6.0,14.0,True
2023-06-07,21.0,4.0,17.0,True
2023-06-11,20.0,5.0,15.0,True
2023-06-12,20.0,5.0,15.0,True
2023-06-15,20.0,6.0,14.0,True
2023-06-16,21.0,5.0,16.0,True
2023-06-17,19.0,7.0,12.0,True
2023-06-18,19.0,7.0,12.0,True
2023-06-19,19.0,7.0,12.0,True
2023-06-20,19.0,7.0,12.0,True
2023-06-21,18.0,8.0,10.0,True
2023-06-22,18.0,8.0,10.0,True
2023-06-23,18.0,8.0,10.0,True
2023-06-24,18.0,7.0,11.0,True
2023-06-25,19.0,7.0,12.0,True
2023-06-26,19.0,7.0,12.0,True
2023-06-27,18.0,7.0,11.0,True
2023-06-28,20.0,5.0,15.0,True
2023-06-29,21.0,5.0,16.0,True
2023-07-04,20.0,5.0,15.0,True
2023-07-05,20.0,5.0,15.0,True
2023-07-06,20.0,5.0,15.0,True
2023-07-07,22.0,4.0,18.0,True
2023-07-08,20.0,6.0,14.0,True
2023-07-09,20.0,6.0,14.0,True
2023-07-10,20.0,6.0,14.0,True
2023-07-15,17.0,8.0,9.0,True
2023-07-16,18.0,7.0,11.0,True
2023-07-17,18.0,7.0,11.0,True
2023-08-20,20.0,5.0,15.0,True
2023-08-21,20.0,5.0,15.0,True
2023-08-26,17.0,9.0,8.0,True
2023-08-27,17.0,9.0,8.0,True
2023-08-28,17.0,9.0,8.0,True
2023-09-10,20.0,6.0,14.0,True
2023-09-11,20.0,6.0,14.0,True
2023-09-15,20.0,5.0,15.0,True
2023-09-16,20.0,6.0,14.0,True
2023-09-17,20.0,6.0,14.0,True
2023-09-18,20.0,6.0,14.0,True
2023-10-01,18.0,7.0,11.0,True
2023-10-02,18.0,7.0,11.0,True
2023-10-07,16.0,9.0,7.0,True
2023-10-08,16.0,9.0,7.0,True
2023-10-09,16.0,9.0,7.0,True
2023-10-15,19.0,7.0,12.0,True
2023-10-16,19.0,7.0,12.0,True
2023-10-17,18.0,7.0,11.0,True
2023-10-19,19.0,7.0,12.0,True
2023-10-29,17.0,8.0,9.0,True
2023-10-30,18.0,8.0,10.0,True
2023-10-31,18.0,8.0,10.0,True
2023-11-01,17.0,9.0,8.0,True
2023-11-02,17.0,8.0,9.0,True
2023-11-03,18.0,8.0,10.0,True
2023-11-04,18.0,8.0,10.0,True
2023-11-05,18.0,8.0,10.0,True
2023-11-06,18.0,8.0,10.0,True
2023-11-07,18.0,8.0,10.0,True
2023-11-08,18.0,7.0,11.0,True
2023-11-09,18.0,8.0,10.0,True
2023-11-11,20.0,6.0,14.0,True
2023-11-12,20.0,6.0,14.0,True
2023-11-13,20.0,6.0,14.0,True
2023-11-14,19.0,7.0,12.0,True
2023-11-15,18.0,7.0,11.0,True
2023-11-18,18.0,7.0,11.0,True
2023-11-19,18.0,7.0,11.0,True
2023-11-20,18.0,7.0,11.0,True
2023-11-22,19.0,7.0,12.0,True
2023-11-25,18.0,7.0,11.0,True
2023-11-26,20.0,6.0,14.0,True
2023-11-27,20.0,6.0,14.0,True
2023-11-28,19.0,6.0,13.0,True
2023-12-01,18.0,7.0,11.0,True
2023-12-02,13.0,13.0,0.0,True
2023-12-03,13.0,13.0,0.0,True
2023-12-04,13.0,13.0,0.0,True
2023-12-07,15.0,10.0,5.0,True
2023-12-13,18.0,8.0,10.0,True
2023-12-14,16.0,9.0,7.0,True
2023-12-15,18.0,8.0,10.0,True
2023-12-18,18.0,7.0,11.0,True
2023-12-19,19.0,7.0,12.0,True
2023-12-21,18.0,7.0,11.0,True
2023-12-28,16.0,10.0,6.0,True
2023-12-29,14.0,12.0,2.0,True
2024-01-02,13.0,13.0,0.0,True
2024-01-05,15.0,11.0,4.0,True
2024-01-06,15.0,11.0,4.0,True
2024-01-07,15.0,11.0,4.0,True
2024-01-08,15.0,11.0,4.0,True
2024-01-10,15.0,10.0,5.0,True
2024-01-16,16.0,9.0,7.0,True
2024-01-17,17.0,9.0,8.0,True
2024-01-25,17.0,8.0,9.0,True
2024-02-03,13.0,12.0,1.0,True
2024-02-04,13.0,12.0,1.0,True
2024-02-18,16.0,9.0,7.0,True
2024-02-19,16.0,9.0,7.0,True
2024-02-20,16.0,9.0,7.0,True
2024-02-23,18.0,8.0,10.0,True
2024-02-24,17.0,8.0,9.0,True
2024-02-25,18.0,8.0,10.0,True
2024-02-26,18.0,8.0,10.0,True
2024-02-27,17.0,8.0,9.0,True
2024-03-03,18.0,7.0,11.0,True
2024-03-04,18.0,7.0,11.0,True
2024-03-19,17.0,8.0,9.0,True
2024-04-04,16.0,10.0,6.0,True
