Date,Available Beds,Wasted Beds,Wasted Potential,Daily Efficiency,Cumulative Available Beds,Cumulative Wasted Beds,Cumulative Wasted Potential,Cumulative Efficiency
2023-01-01,26.0,11.0,0,0.5769230769230769,26.0,11.0,0,0.5769230769230769
2023-01-02,26.0,11.0,0,0.5769230769230769,52.0,22.0,0,0.5769230769230769
2023-01-03,26.0,11.0,0,0.5769230769230769,78.0,33.0,0,0.5769230769230769
2023-01-04,26.0,10.0,0,0.6153846153846154,104.0,43.0,0,0.5865384615384616
2023-01-05,26.0,11.0,0,0.5769230769230769,130.0,54.0,0,0.5846153846153846
2023-01-06,26.0,11.0,0,0.5769230769230769,156.0,65.0,0,0.5833333333333334
2023-01-07,26.0,12.0,0,0.5384615384615384,182.0,77.0,0,0.5769230769230769
2023-01-08,26.0,12.0,0,0.5384615384615384,208.0,89.0,0,0.5721153846153846
2023-01-09,26.0,12.0,0,0.5384615384615384,234.0,101.0,0,0.5683760683760684
2023-01-10,26.0,12.0,0,0.5384615384615384,260.0,113.0,0,0.5653846153846154
2023-01-11,26.0,13.0,0,0.5,286.0,126.0,0,0.5594405594405595
2023-01-12,26.0,12.0,0,0.5384615384615384,312.0,138.0,0,0.5576923076923077
2023-01-13,26.0,12.0,0,0.5384615384615384,338.0,150.0,0,0.5562130177514792
2023-01-14,26.0,10.0,0,0.6153846153846154,364.0,160.0,0,0.5604395604395604
2023-01-15,26.0,10.0,0,0.6153846153846154,390.0,170.0,0,0.5641025641025641
2023-01-16,26.0,10.0,0,0.6153846153846154,416.0,180.0,0,0.5673076923076923
2023-01-17,26.0,11.0,0,0.5769230769230769,442.0,191.0,0,0.5678733031674208
2023-01-18,26.0,10.0,0,0.6153846153846154,468.0,201.0,0,0.5705128205128205
2023-01-19,26.0,4.0,0,0.8461538461538461,494.0,205.0,0,0.5850202429149798
2023-01-20,26.0,4.0,0,0.8461538461538461,520.0,209.0,0,0.5980769230769231
2023-01-21,26.0,4.0,0,0.8461538461538461,546.0,213.0,0,0.6098901098901099
2023-01-22,26.0,5.0,0,0.8076923076923077,572.0,218.0,0,0.6188811188811189
2023-01-23,26.0,5.0,0,0.8076923076923077,598.0,223.0,0,0.6270903010033445
2023-01-24,26.0,4.0,0,0.8461538461538461,624.0,227.0,0,0.6362179487179487
2023-01-25,26.0,5.0,0,0.8076923076923077,650.0,232.0,0,0.6430769230769231
2023-01-26,26.0,5.0,0,0.8076923076923077,676.0,237.0,0,0.6494082840236687
2023-01-27,26.0,7.0,0,0.7307692307692307,702.0,244.0,0,0.6524216524216524
2023-01-28,26.0,5.0,0,0.8076923076923077,728.0,249.0,0,0.657967032967033
2023-01-29,26.0,5.0,0,0.8076923076923077,754.0,254.0,0,0.6631299734748011
2023-01-30,26.0,5.0,0,0.8076923076923077,780.0,259.0,0,0.6679487179487179
2023-01-31,26.0,4.0,0,0.8461538461538461,806.0,263.0,0,0.673697270471464
2023-02-01,26.0,4.0,0,0.8461538461538461,832.0,267.0,0,0.6790865384615384
2023-02-02,26.0,3.0,0,0.8846153846153846,858.0,270.0,0,0.6853146853146853
2023-02-03,26.0,4.0,0,0.8461538461538461,884.0,274.0,0,0.6900452488687783
2023-02-04,26.0,3.0,0,0.8846153846153846,910.0,277.0,0,0.6956043956043956
2023-02-05,26.0,5.0,0,0.8076923076923077,936.0,282.0,0,0.6987179487179487
2023-02-06,26.0,5.0,0,0.8076923076923077,962.0,287.0,0,0.7016632016632016
2023-02-07,26.0,4.0,0,0.8461538461538461,988.0,291.0,0,0.7054655870445344
2023-02-08,26.0,2.0,0,0.9230769230769231,1014.0,293.0,0,0.7110453648915187
2023-02-09,26.0,2.0,0,0.9230769230769231,1040.0,295.0,0,0.7163461538461539
2023-02-10,26.0,2.0,0,0.9230769230769231,1066.0,297.0,0,0.7213883677298312
2023-02-11,26.0,4.0,0,0.8461538461538461,1092.0,301.0,0,0.7243589743589743
2023-02-12,26.0,5.0,0,0.8076923076923077,1118.0,306.0,0,0.7262969588550984
2023-02-13,26.0,5.0,0,0.8076923076923077,1144.0,311.0,0,0.7281468531468531
2023-02-14,26.0,4.0,0,0.8461538461538461,1170.0,315.0,0,0.7307692307692307
2023-02-15,16.0,2.0,0,0.875,1186.0,317.0,0,0.7327150084317032
2023-02-16,25.0,5.0,0,0.8,1211.0,322.0,0,0.7341040462427746
2023-02-17,26.0,3.0,0,0.8846153846153846,1237.0,325.0,0,0.7372675828617623
2023-02-18,26.0,5.0,0,0.8076923076923077,1263.0,330.0,0,0.7387173396674585
2023-02-19,26.0,5.0,0,0.8076923076923077,1289.0,335.0,0,0.7401086113266098
2023-02-20,26.0,5.0,0,0.8076923076923077,1315.0,340.0,0,0.7414448669201521
2023-02-21,26.0,6.0,0,0.7692307692307693,1341.0,346.0,0,0.7419835943325876
2023-02-22,26.0,6.0,0,0.7692307692307693,1367.0,352.0,0,0.7425018288222385
2023-02-23,26.0,4.0,0,0.8461538461538461,1393.0,356.0,0,0.7444364680545585
2023-02-24,26.0,4.0,0,0.8461538461538461,1419.0,360.0,0,0.7463002114164905
2023-02-25,26.0,5.0,0,0.8076923076923077,1445.0,365.0,0,0.7474048442906575
2023-02-26,26.0,6.0,0,0.7692307692307693,1471.0,371.0,0,0.7477906186267845
2023-02-27,26.0,6.0,0,0.7692307692307693,1497.0,377.0,0,0.7481629926519706
2023-02-28,26.0,6.0,0,0.7692307692307693,1523.0,383.0,0,0.7485226526592252
2023-03-01,26.0,7.0,0,0.7307692307692307,1549.0,390.0,0,0.7482246610716591
2023-03-02,26.0,5.0,0,0.8076923076923077,1575.0,395.0,0,0.7492063492063492
2023-03-03,26.0,6.0,0,0.7692307692307693,1601.0,401.0,0,0.749531542785759
2023-03-04,26.0,7.0,0,0.7307692307692307,1627.0,408.0,0,0.7492317148125384
2023-03-05,26.0,7.0,0,0.7307692307692307,1653.0,415.0,0,0.7489413188142771
2023-03-06,26.0,7.0,0,0.7307692307692307,1679.0,422.0,0,0.7486599166170339
2023-03-07,26.0,4.0,0,0.8461538461538461,1705.0,426.0,0,0.7501466275659824
2023-03-08,26.0,4.0,0,0.8461538461538461,1731.0,430.0,0,0.7515886770652802
2023-03-09,26.0,5.0,0,0.8076923076923077,1757.0,435.0,0,0.7524188958451906
2023-03-10,26.0,7.0,0,0.7307692307692307,1783.0,442.0,0,0.752103196859226
2023-03-11,26.0,7.0,0,0.7307692307692307,1809.0,449.0,0,0.7517965726920951
2023-03-12,26.0,8.0,0,0.6923076923076923,1835.0,457.0,0,0.7509536784741144
2023-03-13,26.0,8.0,0,0.6923076923076923,1861.0,465.0,0,0.7501343363782912
2023-03-14,26.0,7.0,0,0.7307692307692307,1887.0,472.0,0,0.749867514573397
2023-03-15,26.0,7.0,0,0.7307692307692307,1913.0,479.0,0,0.7496079456351281
2023-03-16,26.0,7.0,0,0.7307692307692307,1939.0,486.0,0,0.7493553378029912
2023-03-17,26.0,8.0,0,0.6923076923076923,1965.0,494.0,0,0.7486005089058524
2023-03-18,26.0,7.0,0,0.7307692307692307,1991.0,501.0,0,0.7483676544450025
2023-03-19,26.0,6.0,0,0.7692307692307693,2017.0,507.0,0,0.7486365889935548
2023-03-20,26.0,6.0,0,0.7692307692307693,2043.0,513.0,0,0.748898678414097
2023-03-21,26.0,6.0,0,0.7692307692307693,2069.0,519.0,0,0.7491541807636539
2023-03-22,26.0,7.0,0,0.7307692307692307,2095.0,526.0,0,0.7489260143198091
