Date,Total_Single_Patients,Double_Room_Patients,Closed_Rooms,Wasted_Beds,Wasted_Potential,Available_Beds,Efficiency
2023-01-01,11.0,4.0,0.0,11,0,26.0,57.692307692307686
2023-01-02,11.0,4.0,0.0,11,0,26.0,57.692307692307686
2023-01-03,11.0,4.0,0.0,11,0,26.0,57.692307692307686
2023-01-04,10.0,6.0,0.0,10,0,26.0,61.53846153846154
2023-01-05,11.0,4.0,0.0,11,0,26.0,57.692307692307686
2023-01-06,11.0,4.0,0.0,11,0,26.0,57.692307692307686
2023-01-07,12.0,2.0,0.0,12,0,26.0,53.84615384615385
2023-01-08,12.0,2.0,0.0,12,0,26.0,53.84615384615385
2023-01-09,12.0,2.0,0.0,12,0,26.0,53.84615384615385
2023-01-10,12.0,2.0,0.0,12,0,26.0,53.84615384615385
2023-01-11,13.0,0.0,0.0,13,0,26.0,50.0
2023-01-12,12.0,0.0,0.0,12,0,26.0,53.84615384615385
2023-01-13,12.0,0.0,0.0,12,0,26.0,53.84615384615385
2023-01-14,10.0,3.0,0.0,10,0,26.0,61.53846153846154
2023-01-15,10.0,5.0,0.0,10,0,26.0,61.53846153846154
2023-01-16,10.0,5.0,0.0,10,0,26.0,61.53846153846154
2023-01-17,11.0,3.0,0.0,11,0,26.0,57.692307692307686
2023-01-18,10.0,6.0,0.0,10,0,26.0,61.53846153846154
2023-01-19,4.0,10.0,0.0,4,0,26.0,84.61538461538461
2023-01-20,4.0,12.0,0.0,4,0,26.0,84.61538461538461
2023-01-21,4.0,15.0,0.0,4,0,26.0,84.61538461538461
2023-01-22,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-01-23,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-01-24,4.0,11.0,0.0,4,0,26.0,84.61538461538461
2023-01-25,5.0,11.0,0.0,5,0,26.0,80.76923076923077
2023-01-26,5.0,13.0,0.0,5,0,26.0,80.76923076923077
2023-01-27,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-01-28,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-01-29,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-01-30,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-01-31,4.0,17.0,0.0,4,0,26.0,84.61538461538461
2023-02-01,4.0,18.0,0.0,4,0,26.0,84.61538461538461
2023-02-02,3.0,19.0,0.0,3,0,26.0,88.46153846153845
2023-02-03,4.0,18.0,0.0,4,0,26.0,84.61538461538461
2023-02-04,3.0,17.0,0.0,3,0,26.0,88.46153846153845
2023-02-05,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-02-06,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-02-07,4.0,11.0,0.0,4,0,26.0,84.61538461538461
2023-02-08,2.0,11.0,0.0,2,0,26.0,92.3076923076923
2023-02-09,2.0,17.0,0.0,2,0,26.0,92.3076923076923
2023-02-10,2.0,19.0,0.0,2,0,26.0,92.3076923076923
2023-02-11,4.0,17.0,0.0,4,0,26.0,84.61538461538461
2023-02-12,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-02-13,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-02-14,4.0,15.0,0.0,4,0,26.0,84.61538461538461
2023-02-15,2.0,12.0,10.0,2,0,16.0,87.5
2023-02-16,5.0,12.0,1.0,5,0,25.0,80.0
2023-02-17,3.0,12.0,0.0,3,0,26.0,88.46153846153845
2023-02-18,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-02-19,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-02-20,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-02-21,6.0,13.0,0.0,6,0,26.0,76.92307692307693
2023-02-22,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-02-23,4.0,16.0,0.0,4,0,26.0,84.61538461538461
2023-02-24,4.0,18.0,0.0,4,0,26.0,84.61538461538461
2023-02-25,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-02-26,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-02-27,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-02-28,6.0,13.0,0.0,6,0,26.0,76.92307692307693
2023-03-01,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-03-02,5.0,13.0,0.0,5,0,26.0,80.76923076923077
2023-03-03,6.0,12.0,0.0,6,0,26.0,76.92307692307693
2023-03-04,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-03-05,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-03-06,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-03-07,4.0,15.0,0.0,4,0,26.0,84.61538461538461
2023-03-08,4.0,13.0,0.0,4,0,26.0,84.61538461538461
2023-03-09,5.0,14.0,0.0,5,0,26.0,80.76923076923077
2023-03-10,7.0,9.0,0.0,7,0,26.0,73.07692307692307
2023-03-11,7.0,9.0,0.0,7,0,26.0,73.07692307692307
2023-03-12,8.0,8.0,0.0,8,0,26.0,69.23076923076923
2023-03-13,8.0,8.0,0.0,8,0,26.0,69.23076923076923
2023-03-14,7.0,9.0,0.0,7,0,26.0,73.07692307692307
2023-03-15,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-03-16,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-03-17,8.0,10.0,0.0,8,0,26.0,69.23076923076923
