Date,Available Beds,Wasted Beds,Daily Efficiency,Cumulative Available Beds,Cumulative Wasted Beds,Cumulative Efficiency
2023-01-01,26.0,5.0,0.8076923076923077,26.0,5.0,0.8076923076923077
2023-01-02,26.0,5.0,0.8076923076923077,52.0,10.0,0.8076923076923077
2023-01-03,26.0,5.0,0.8076923076923077,78.0,15.0,0.8076923076923077
2023-01-04,26.0,4.0,0.8461538461538461,104.0,19.0,0.8173076923076923
2023-01-05,26.0,5.0,0.8076923076923077,130.0,24.0,0.8153846153846154
2023-01-06,26.0,5.0,0.8076923076923077,156.0,29.0,0.8141025641025641
2023-01-07,26.0,6.0,0.7692307692307693,182.0,35.0,0.8076923076923077
2023-01-08,26.0,6.0,0.7692307692307693,208.0,41.0,0.8028846153846154
2023-01-09,26.0,6.0,0.7692307692307693,234.0,47.0,0.7991452991452992
2023-01-10,26.0,6.0,0.7692307692307693,260.0,53.0,0.7961538461538461
2023-01-11,26.0,7.0,0.7307692307692307,286.0,60.0,0.7902097902097902
2023-01-12,26.0,6.0,0.7692307692307693,312.0,66.0,0.7884615384615384
2023-01-13,26.0,6.0,0.7692307692307693,338.0,72.0,0.7869822485207101
2023-01-14,26.0,4.0,0.8461538461538461,364.0,76.0,0.7912087912087912
2023-01-15,26.0,4.0,0.8461538461538461,390.0,80.0,0.7948717948717948
2023-01-16,26.0,4.0,0.8461538461538461,416.0,84.0,0.7980769230769231
2023-01-17,26.0,5.0,0.8076923076923077,442.0,89.0,0.7986425339366516
2023-01-18,26.0,4.0,0.8461538461538461,468.0,93.0,0.8012820512820513
2023-01-19,26.0,0.0,1.0,494.0,93.0,0.8117408906882592
2023-01-20,26.0,0.0,1.0,520.0,93.0,0.8211538461538461
2023-01-21,26.0,0.0,1.0,546.0,93.0,0.8296703296703297
2023-01-22,26.0,0.0,1.0,572.0,93.0,0.8374125874125874
2023-01-23,26.0,0.0,1.0,598.0,93.0,0.8444816053511706
2023-01-24,26.0,0.0,1.0,624.0,93.0,0.8509615384615384
2023-01-25,26.0,0.0,1.0,650.0,93.0,0.8569230769230769
2023-01-26,26.0,0.0,1.0,676.0,93.0,0.8624260355029586
2023-01-27,26.0,1.0,0.9615384615384616,702.0,94.0,0.8660968660968661
2023-01-28,26.0,0.0,1.0,728.0,94.0,0.8708791208791209
2023-01-29,26.0,0.0,1.0,754.0,94.0,0.8753315649867374
2023-01-30,26.0,0.0,1.0,780.0,94.0,0.8794871794871795
2023-01-31,26.0,0.0,1.0,806.0,94.0,0.8833746898263027
2023-02-01,26.0,0.0,1.0,832.0,94.0,0.8870192307692307
2023-02-02,26.0,0.0,1.0,858.0,94.0,0.8904428904428905
2023-02-03,26.0,0.0,1.0,884.0,94.0,0.8936651583710408
2023-02-04,26.0,0.0,1.0,910.0,94.0,0.8967032967032967
2023-02-05,26.0,0.0,1.0,936.0,94.0,0.8995726495726496
2023-02-06,26.0,0.0,1.0,962.0,94.0,0.9022869022869023
2023-02-07,26.0,0.0,1.0,988.0,94.0,0.9048582995951417
2023-02-08,26.0,0.0,1.0,1014.0,94.0,0.9072978303747534
2023-02-09,26.0,0.0,1.0,1040.0,94.0,0.9096153846153846
2023-02-10,26.0,0.0,1.0,1066.0,94.0,0.9118198874296435
2023-02-11,26.0,0.0,1.0,1092.0,94.0,0.9139194139194139
2023-02-12,26.0,0.0,1.0,1118.0,94.0,0.9159212880143113
2023-02-13,26.0,0.0,1.0,1144.0,94.0,0.9178321678321678
2023-02-14,26.0,0.0,1.0,1170.0,94.0,0.9196581196581196
2023-02-15,16.0,0.0,1.0,1186.0,94.0,0.9207419898819561
2023-02-16,25.0,0.0,1.0,1211.0,94.0,0.9223781998348473
2023-02-17,26.0,0.0,1.0,1237.0,94.0,0.9240097008892482
2023-02-18,26.0,0.0,1.0,1263.0,94.0,0.9255740300870943
2023-02-19,26.0,0.0,1.0,1289.0,94.0,0.9270752521334368
2023-02-20,26.0,0.0,1.0,1315.0,94.0,0.9285171102661597
2023-02-21,26.0,0.0,1.0,1341.0,94.0,0.9299030574198359
2023-02-22,26.0,0.0,1.0,1367.0,94.0,0.9312362838332114
